A,B,C,D,E,F
26,14.03,34,153.53,-46.0083,-86.5288
22,6.29,28,123.3,-24.1507,-20.9939
34,30.49,18,72.97,9.78574,16.2862
7,-23.63,38,173.34,-83.3739,-10.237
10,-17.83,0,-16.69,18.6074,13.5191
21,4.26,7,18.05,33.2554,16.2197
17,-4.03,34,153.14,-3.60527,-6.00017
23,8.36,6,13.5,50.8829,31.7951
28,18.04,37,168.03,75.5853,14.6923
28,18.04,6,12.98,1.98904,0.209057
2,-33.88,31,138.18,52.8363,34.3122
3,-31.71,0,-16.54,-8.66812,-6.77227
35,32.5,5,9.1,80.8136,29.4137
30,22.03,4,3.17,29.6373,43.939
26,14.3,1,-11.79,13.8638,1.94842
26,14.13,10,33.46,-61.2367,-9.69893
17,-3.5,18,73.15,1.46271,1.364
23,8.14,13,48.05,8.26915,28.8378
25,12.49,38,173.47,-3.2539,-7.30836
3,-31.53,4,3.41,18.7558,19.4222
19,0.22,27,118.07,-62.0197,-22.5733
36,34.4,18,73.51,0.681999,0.731353
2,-33.86,1,-11.68,66.9809,52.3312
7,-23.6,36,163.22,-64.717,-17.3409
28,18.05,31,138.01,43.4151,30.3995
15,-7.99,15,58.4,51.9081,14.8844
20,2.27,4,3.28,-11.1506,-20.1162
15,-7.64,15,58.34,-22.3988,-48.0343
20,2.23,35,158.25,-46.6917,-32.6938
9,-19.92,9,28.09,58.5995,32.4822
14,-9.8,38,173.06,14.2351,35.233
30,22.27,15,58.23,28.5234,67.1968
12,-13.54,4,3.44,-23.2257,-57.4854
20,2.47,9,28.24,-0.515039,-0.857167
28,18.37,35,158.54,-65.4719,-70.2099
31,24.35,17,68.06,-6.48938,-19.9722
14,-10.02,18,72.99,25.9541,7.4422
34,30.49,12,43.27,-47.0579,-50.4634
25,12.4,13,48.51,15.9662,26.5722
30,22.16,36,163.54,79.7551,37.1904
12,-13.64,10,33.46,-71.934,-69.4658
17,-3.76,22,93.04,107.703,26.8533
18,-1.48,1,-11.8,-39.8529,-47.4947
25,12.4,28,123.27,-72.8116,-52.9006
14,-9.83,30,133.27,-40.5689,-10.8704
2,-33.73,21,88.49,38.5198,6.10094
13,-11.75,21,88.52,-84.6766,-7.40823
25,12.23,17,68.35,57.3213,20.8632
35,32.43,39,178.41,-9.11942,-6.15112
7,-23.8,1,-11.53,-53.2312,-51.4047
0,-38.03,9,27.99,76.3975,37.2615
36,34.35,1,-11.94,-49.0476,-44.1626
11,-15.52,35,158.25,-18.9076,-34.1101
4,-29.66,14,53.52,19.8542,49.1407
36,34.17,39,178.14,37.1573,33.4565
9,-19.6,37,168.55,-94.2919,-11.5776
31,24.3,21,88.5,46.075,41.4861
2,-33.7,10,33.34,-35.5046,-56.8192
25,12.06,32,143.36,-40.7961,-16.4827
15,-7.51,10,33.51,33.7677,51.9975
31,24.48,15,58.37,22.3302,34.3855
3,-31.5,5,8.33,95.089,23.7083
15,-7.63,4,3.34,80.6614,37.613
0,-37.49,19,78.22,-30.9291,-89.8242
2,-33.51,0,-16.91,5.73783,1.75423
5,-27.74,13,47.97,68.944,57.8508
25,12.22,0,-16.93,24.0615,47.2233
22,6.05,30,133.15,-38.6482,-18.8499
8,-21.46,17,68.37,-25.7883,-60.7533
16,-5.46,35,158.53,14.0518,15.606
19,0.43,15,58.41,77.2737,16.425
19,0.21,22,93.28,3.69397,4.72806
1,-35.75,7,18.48,28.3111,73.7528
2,-33.96,33,148.28,19.589,64.0724
34,31.32,25,108.38,27.6901,34.1944
26,14.2,25,108.18,-0.777146,-0.62932
30,22.08,8,23.49,-61.6735,-76.1603
11,-15.99,27,118.15,40.2869,24.2068
2,-34.01,25,108.53,-51.325,-43.0667
24,10.36,0,-16.62,-26.4745,-9.1159
19,0.56,19,78.01,-19.5234,-43.8502
0,-38,22,93.45,16.9917,20.9829
27,16.16,20,83.51,-57.0974,-26.6249
20,2.09,22,93.34,36.7701,30.8538
22,6.21,35,158.12,-12.7207,-7.94878
31,24.01,38,173.2,0.994522,0.104528
34,30.38,6,13.53,-26.6776,-73.296
32,26.26,24,103.42,-13.2596,-34.5425
5,-27.68,6,13.56,48.5462,18.6351
34,30.44,30,132.98,-24.1034,-74.1824
1,-35.98,3,-1.52,-7.87271,-9.05651
34,29.99,6,12.97,27.1892,12.6785
6,-25.68,29,128.39,-24.4894,-13.5747
36,34.26,31,138.51,-45.9133,-24.4125
20,2.31,22,93.39,32.9671,59.4741
29,20.26,2,-6.5,38.881,83.3803
17,-3.96,5,8.32,-44.9433,-57.5248
27,16.42,34,153.53,-44.6026,-80.465
12,-13.67,15,58.4,28.3877,77.9945
19,-6.70552e-10,10,33.5,-86.5275,-36.7287
30,22.24,19,78.49,-71.9035,-35.0697
34,30.07,30,133.36,-51.6066,-36.1353
39,40.02,35,158.1,18.1271,49.8037
20,2.15,24,103.04,-5.87134,-18.0701
3,-31.51,2,-6.5,-53.7945,-4.70641
23,8.33,28,123.11,36.2523,16.9047
37,36.31,30,133.25,-30.9732,-44.2342
38,38.42,37,168.22,-50.7874,-35.5617
21,4.47,20,83.14,-23.3144,-18.8796
36,34.3,26,113.15,20.7854,54.1476
39,40.3,12,43.56,-11.5831,-5.90187
19,0.01,39,178.39,48.864,17.785
22,6.07,2,-6.64,-28.3213,-43.6108
1,-36.02,3,-1.81,41.3338,66.1477
36,34.31,18,73.51,29.0554,57.0244
39,40.4,21,88,-44.821,-10.3477
28,18.51,24,103.44,71.3419,64.2365
24,10.07,39,178.43,66.1399,59.5526
18,-2.01,20,82.98,-70.21,-65.4718
6,-25.71,4,3.53,-84.9597,-37.8265
24,10.35,4,3.14,18.8747,9.20579
25,12.46,5,8.39,11.3886,25.5793
19,0.49,11,38.07,-78.417,-23.9745
10,-17.66,14,53.27,-40.4509,-29.3892
21,4.06,35,158.34,-66.8255,-34.0493
18,-1.81,32,143.12,38.7075,44.5278
26,14.34,15,58.28,36.8752,12.6971
24,10.07,16,63.44,56.6409,72.4969
11,-15.49,24,103.42,-24.4177,-70.9139
28,18.35,35,158.41,-4.95134,-0.695865
18,-1.49,7,18.28,52.2872,31.4173
37,36.24,15,58.49,-1.31212,-1.50942
36,34.51,16,63.42,17.9732,36.8505
32,26.49,3,-1.95,20.5061,20.5061
34,30.47,10,32.99,-62.8965,-58.6518
27,16.41,4,3.11,42.1325,35.3533
32,26.29,32,143.25,-37.5099,-40.2244
34,30.1,36,163.48,41.4519,27.9596
12,-13.49,33,148.24,71.7188,39.7544
20,2.26,24,103.07,7.77818,7.77817
8,-21.53,15,58.29,27.0476,58.0037
17,-3.67,35,157.98,-49.8964,-25.4235
3,-31.72,17,68.28,-25.3336,-5.84872
32,26.23,22,93.34,-4.63527,-14.2658
12,-13.58,6,13.13,-25.3587,-88.4361
19,0.05,39,178.11,-6.57785,-2.39414
36,33.99,31,138.48,1.16949,3.82522
15,-7.84,19,78.3,62.0429,10.9398
33,28.52,11,38.44,-72.9644,-47.3836
4,-29.46,26,113.19,32.5937,5.16233
23,8.21,2,-6.49,35.7083,12.9968
9,-19.56,38,173.5,-19.6818,-22.6413
21,4.03,33,148.49,46.9458,19.9273
37,36.41,24,102.97,22.357,45.8385
0,-37.55,6,13.23,56.962,58.9858
20,2.35,36,163.12,-66.4145,-57.7332
22,6.39,5,8.09,-41.2089,-74.3426
26,14.05,2,-6.71,-4.23936,-6.78438
32,25.98,9,28.05,-14.7053,-22.6441
37,36.1,12,43.32,0,0
39,40.49,33,148.24,93.0296,33.86
25,12.39,19,78.28,5.88976,1.14485
27,16.22,6,13.18,-7.77818,-7.77817
6,-25.62,11,38.52,28.0074,10.751
7,-23.64,30,133.37,-13.616,-20.9668
7,-23.77,26,113.37,20.7676,25.6458
37,36.47,0,-16.54,-25.72,-74.6959
35,32.37,31,138.31,32.7441,24.6744
4,-29.56,34,153.45,61.6696,70.9427
4,-30.01,3,-1.57,57.9828,57.9827
28,18.18,16,63.44,77.8622,22.3266
33,28.47,4,3.1,-47.9292,-10.1877
11,-15.56,18,73.52,7.26952,10.7775
27,16.54,19,78.18,-11.4907,-9.64181
17,-3.73,7,18.38,49.209,72.9553
3,-31.74,2,-6.91,33.8289,12.3127
25,12.18,18,73.26,-71.8019,-17.9022
7,-23.86,28,123.34,46.7373,22.7953
8,-21.51,19,78.56,-32.4823,-58.5995
25,12.4,18,73.01,13.5968,41.8465
6,-25.44,16,63.37,62.0619,66.5531
16,-5.74,33,148.11,-58.0326,-39.1435
23,8.34,8,23.09,-5.24451,-12.9806
33,28.32,5,8.01,13.9467,1.22018
21,4.28,33,148.36,-23.2871,-5.80612
38,38.11,29,128.11,75.0718,56.5706
38,38.19,13,48,90.7698,31.2545
34,30.49,33,148.2,68.8794,32.119
36,33.98,7,18.5,46.923,34.0915
23,8.36,5,8.06,-80.8915,-39.4534
18,-1.62,35,158.36,-4.80631,-1.37819
12,-13.49,24,103.34,31.0445,47.8042
21,4.21,24,103.12,47.3837,72.9643
7,-23.48,34,153.51,-51.6124,-6.3372
7,-23.8,3,-1.71,46.0001,79.6743
5,-27.8,6,13.49,-45.0745,-36.5006
14,-9.77,28,123.35,25.9575,79.8887
10,-17.58,33,148.24,-62.2254,-62.2254
11,-15.64,35,158.42,45.8994,26.5
29,20.5,11,38.21,19.7003,15.3915
