A,B,C,D
1,11,27.11,68.31
2,35,29.3,308.13
3,30,31.01,258.09
4,12,33.02,78.16
5,2,35.05,-21.8
6,38,37.22,338.12
7,28,39.35,238.23
8,16,41.33,118.12
9,4,43.21,-1.79
10,8,45.12,38.26
11,19,47.15,148.31
12,13,49.03,88.23
13,20,51.25,158.18
14,23,53.29,188.23
15,1,55.31,-31.78
16,16,57.21,118.06
17,30,59.1,258.03
18,7,61.18,27.99
19,22,63.22,178.14
20,5,65.3,8.28
21,25,67.1,207.98
22,18,69.15,138.03
23,35,71.27,308.22
24,16,73.1,118.13
25,33,75.04,287.99
26,17,77.2,128.22
27,18,79.1,138.26
28,23,81.17,188.06
29,24,83.31,198.3
30,0,85.36,-41.77
31,23,87.13,188.27
32,15,89.23,108.36
33,12,91.11,78.25
34,36,93.27,318.37
35,11,95.12,68.03
36,12,97.21,78.17
37,29,98.99,248.29
38,17,101.15,128.01
39,26,103.31,218.34
40,10,105.24,58.25
41,27,107.07,228.32
42,8,109.14,38.18
43,6,111.26,18.31
44,33,113.22,288.12
45,25,115.33,208.18
46,22,116.98,178.01
47,2,119.27,-21.65
48,25,121.36,208.12
49,20,123.14,158.37
50,17,125.25,128.23
51,36,127.04,318.24
52,30,129.13,258
53,2,131.19,-21.72
54,27,133.05,228.04
55,1,135.22,-31.68
56,13,137.36,88.32
57,17,138.98,128.13
58,6,141.16,18.11
59,12,143.36,78.28
60,11,145.05,68.07
61,37,147.01,328.13
62,23,149.24,188.2
63,18,151.18,138.34
64,0,153.06,-41.99
65,7,154.99,28.17
66,1,158,-31.87
67,17,159.25,128.22
68,10,161,58.2
69,28,163.05,238.32
70,26,165.27,218.03
71,34,167.28,298.32
72,29,169.36,248.08
73,7,171.18,28.26
74,28,173.14,238.26
75,28,175.09,238.25
76,21,177.2,168.26
77,36,178.98,318.13
78,12,181.08,78.07
79,34,183.36,298.07
80,20,185.14,158.28
81,18,187,138.19
82,12,189.3,78.17
83,22,191.29,178.29
84,2,193.09,-22.02
85,23,195.37,188.09
86,10,197.19,58.24
87,31,199.07,268.24
88,38,201.2,338.26
89,8,203.06,38.16
90,9,205.27,48.32
91,39,207.05,348.27
92,12,209.09,78.19
93,23,211.24,188.1
94,15,213.26,108.14
95,15,215.01,108.13
96,18,217.04,138.34
97,4,219.35,-1.64
98,22,221.33,178.1
99,10,223.33,58.18
100,20,225.02,157.99
